ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,85.0398781299591,0.7,3,1,3
nfcorpus,52.960028409957886,0.7,3,2,3
nfcorpus,60.828065633773804,0.7,3,3,3
nfcorpus,57.91610932350159,0.7,3,4,3
nfcorpus,66.44903206825256,0.7,3,5,3
nfcorpus,51.368568897247314,0.7,3,6,3
nfcorpus,58.95898985862732,0.7,3,7,3
nfcorpus,63.684406995773315,0.7,3,8,3
nfcorpus,53.797523021698,0.7,3,9,3
nfcorpus,68.56163597106934,0.7,3,10,3
nfcorpus,56.54605436325073,0.7,3,11,3
nfcorpus,59.802600622177124,0.7,3,12,3
nfcorpus,58.22061228752136,0.7,3,13,3
nfcorpus,69.5431637763977,0.7,3,14,3
nfcorpus,61.77295541763306,0.7,3,15,3
nfcorpus,69.08447003364563,0.7,3,1,4
nfcorpus,54.914061307907104,0.7,3,2,4
nfcorpus,61.569382667541504,0.7,3,3,4
nfcorpus,57.883182764053345,0.7,3,4,4
nfcorpus,63.8741512298584,0.7,3,5,4
nfcorpus,64.55744981765747,0.7,3,6,4
nfcorpus,70.12486267089844,0.7,3,7,4
nfcorpus,70.1554639339447,0.7,3,8,4
nfcorpus,61.23400521278381,0.7,3,9,4
nfcorpus,66.55001020431519,0.7,3,10,4
nfcorpus,66.6990909576416,0.7,3,11,4
nfcorpus,70.54463076591492,0.7,3,12,4
nfcorpus,66.82447361946106,0.7,3,13,4
nfcorpus,63.28342318534851,0.7,3,14,4
nfcorpus,63.96546483039856,0.7,3,15,4
nfcorpus,64.25106287002563,0.7,3,1,5
nfcorpus,69.00681495666504,0.7,3,2,5
nfcorpus,64.41195273399353,0.7,3,3,5
nfcorpus,61.02097797393799,0.7,3,4,5
nfcorpus,63.7491090297699,0.7,3,5,5
nfcorpus,61.71375036239624,0.7,3,6,5
nfcorpus,59.051347494125366,0.7,3,7,5
nfcorpus,60.98578763008118,0.7,3,8,5
nfcorpus,61.11914563179016,0.7,3,9,5
nfcorpus,65.41496062278748,0.7,3,10,5
nfcorpus,69.3577983379364,0.7,3,11,5
nfcorpus,63.101643562316895,0.7,3,12,5
nfcorpus,63.844470739364624,0.7,3,13,5
nfcorpus,64.34543013572693,0.7,3,14,5
nfcorpus,66.40958547592163,0.7,3,15,5
nfcorpus,51.10533285140991,0.8,1,1,1
nfcorpus,46.43026685714722,0.8,1,2,1
nfcorpus,35.70651125907898,0.8,1,3,1
nfcorpus,45.04806470870972,0.8,1,4,1
nfcorpus,31.711568593978882,0.8,1,5,1
nfcorpus,44.00181603431702,0.8,1,6,1
nfcorpus,30.227092742919922,0.8,1,7,1
nfcorpus,34.96385979652405,0.8,1,8,1
nfcorpus,38.13759422302246,0.8,1,9,1
nfcorpus,41.492013931274414,0.8,1,10,1
nfcorpus,42.09824299812317,0.8,1,11,1
nfcorpus,29.348945140838623,0.8,1,12,1
nfcorpus,35.19134593009949,0.8,1,13,1
nfcorpus,42.660311698913574,0.8,1,14,1
nfcorpus,32.659907579422,0.8,1,15,1
nfcorpus,57.356048822402954,0.8,1,1,2
nfcorpus,48.619725704193115,0.8,1,2,2
nfcorpus,48.78948736190796,0.8,1,3,2
nfcorpus,44.61039996147156,0.8,1,4,2
nfcorpus,34.97669458389282,0.8,1,5,2
nfcorpus,43.82702088356018,0.8,1,6,2
nfcorpus,34.569899797439575,0.8,1,7,2
nfcorpus,37.39222002029419,0.8,1,8,2
nfcorpus,46.89449644088745,0.8,1,9,2
nfcorpus,40.13309288024902,0.8,1,10,2
nfcorpus,47.055670976638794,0.8,1,11,2
nfcorpus,38.192007064819336,0.8,1,12,2
nfcorpus,36.04275131225586,0.8,1,13,2
nfcorpus,44.74841928482056,0.8,1,14,2
nfcorpus,46.040624141693115,0.8,1,15,2
nfcorpus,59.508774757385254,0.8,1,1,3
nfcorpus,51.81779170036316,0.8,1,2,3
nfcorpus,41.34045433998108,0.8,1,3,3
nfcorpus,44.013341426849365,0.8,1,4,3
nfcorpus,45.82999515533447,0.8,1,5,3
nfcorpus,45.11348915100098,0.8,1,6,3
nfcorpus,43.837621450424194,0.8,1,7,3
nfcorpus,41.466453552246094,0.8,1,8,3
nfcorpus,36.49412298202515,0.8,1,9,3
nfcorpus,47.54546332359314,0.8,1,10,3
nfcorpus,44.543453216552734,0.8,1,11,3
nfcorpus,48.68478012084961,0.8,1,12,3
nfcorpus,42.783610105514526,0.8,1,13,3
nfcorpus,45.822429895401,0.8,1,14,3
nfcorpus,41.93541169166565,0.8,1,15,3
nfcorpus,46.629666566848755,0.8,1,1,4
nfcorpus,43.88462781906128,0.8,1,2,4
nfcorpus,38.634732484817505,0.8,1,3,4
nfcorpus,42.23266863822937,0.8,1,4,4
nfcorpus,45.46263241767883,0.8,1,5,4
nfcorpus,38.808565616607666,0.8,1,6,4
nfcorpus,46.12464666366577,0.8,1,7,4
nfcorpus,43.09256076812744,0.8,1,8,4
nfcorpus,48.27859354019165,0.8,1,9,4
nfcorpus,47.4642059803009,0.8,1,10,4
nfcorpus,41.733179807662964,0.8,1,11,4
nfcorpus,43.72925806045532,0.8,1,12,4
nfcorpus,48.63656163215637,0.8,1,13,4
nfcorpus,49.494988679885864,0.8,1,14,4
nfcorpus,47.87635350227356,0.8,1,15,4
nfcorpus,44.55712699890137,0.8,1,1,5
nfcorpus,45.33652353286743,0.8,1,2,5
nfcorpus,40.489060401916504,0.8,1,3,5
nfcorpus,42.756601333618164,0.8,1,4,5
nfcorpus,36.577160596847534,0.8,1,5,5
nfcorpus,44.384737491607666,0.8,1,6,5
nfcorpus,41.919777393341064,0.8,1,7,5
nfcorpus,42.998615980148315,0.8,1,8,5
nfcorpus,50.3234806060791,0.8,1,9,5
nfcorpus,44.08315682411194,0.8,1,10,5
nfcorpus,48.38858461380005,0.8,1,11,5
nfcorpus,49.33162045478821,0.8,1,12,5
nfcorpus,50.84987139701843,0.8,1,13,5
nfcorpus,48.04600763320923,0.8,1,14,5
nfcorpus,48.878976345062256,0.8,1,15,5
nfcorpus,33.63715147972107,0.9,1,1,1
nfcorpus,30.496289014816284,0.9,1,2,1
nfcorpus,33.12423586845398,0.9,1,3,1
nfcorpus,32.606504917144775,0.9,1,4,1
nfcorpus,29.6541531085968,0.9,1,5,1
nfcorpus,33.724462270736694,0.9,1,6,1
nfcorpus,28.036853551864624,0.9,1,7,1
nfcorpus,29.40590524673462,0.9,1,8,1
nfcorpus,28.35330557823181,0.9,1,9,1
nfcorpus,29.74571681022644,0.9,1,10,1
nfcorpus,18.640541791915894,0.9,1,11,1
nfcorpus,27.54591464996338,0.9,1,12,1
nfcorpus,26.648651838302612,0.9,1,13,1
nfcorpus,27.79499101638794,0.9,1,14,1
nfcorpus,25.779503345489502,0.9,1,15,1
nfcorpus,41.52902841567993,0.9,1,1,2
nfcorpus,33.93570947647095,0.9,1,2,2
nfcorpus,30.66715407371521,0.9,1,3,2
nfcorpus,23.000816106796265,0.9,1,4,2
nfcorpus,25.72041368484497,0.9,1,5,2
nfcorpus,26.31622338294983,0.9,1,6,2
nfcorpus,32.28867816925049,0.9,1,7,2
nfcorpus,25.47286868095398,0.9,1,8,2
nfcorpus,27.65571141242981,0.9,1,9,2
nfcorpus,34.860408544540405,0.9,1,10,2
nfcorpus,28.91270637512207,0.9,1,11,2
nfcorpus,30.167267560958862,0.9,1,12,2
nfcorpus,32.4058518409729,0.9,1,13,2
nfcorpus,34.613510847091675,0.9,1,14,2
nfcorpus,29.905341863632202,0.9,1,15,2
nfcorpus,33.70718860626221,0.9,1,1,3
nfcorpus,30.18437361717224,0.9,1,2,3
nfcorpus,31.700786113739014,0.9,1,3,3
nfcorpus,27.277562856674194,0.9,1,4,3
nfcorpus,33.63306498527527,0.9,1,5,3
nfcorpus,34.18854093551636,0.9,1,6,3
nfcorpus,31.912112951278687,0.9,1,7,3
nfcorpus,31.971057653427124,0.9,1,8,3
nfcorpus,31.139220476150513,0.9,1,9,3
nfcorpus,30.924863815307617,0.9,1,10,3
nfcorpus,31.65353536605835,0.9,1,11,3
nfcorpus,33.640501976013184,0.9,1,12,3
nfcorpus,35.201499462127686,0.9,1,13,3
nfcorpus,32.50025129318237,0.9,1,14,3
nfcorpus,33.15013670921326,0.9,1,15,3
nfcorpus,32.81217122077942,0.9,1,1,4
nfcorpus,34.851463079452515,0.9,1,2,4
nfcorpus,28.563711166381836,0.9,1,3,4
nfcorpus,30.889594078063965,0.9,1,4,4
nfcorpus,31.318036794662476,0.9,1,5,4
nfcorpus,31.880891799926758,0.9,1,6,4
nfcorpus,31.31123161315918,0.9,1,7,4
nfcorpus,33.13150453567505,0.9,1,8,4
nfcorpus,34.983856439590454,0.9,1,9,4
nfcorpus,34.35707712173462,0.9,1,10,4
nfcorpus,31.151769399642944,0.9,1,11,4
nfcorpus,31.405855655670166,0.9,1,12,4
nfcorpus,35.2856879234314,0.9,1,13,4
nfcorpus,35.624866247177124,0.9,1,14,4
nfcorpus,34.25955057144165,0.9,1,15,4
nfcorpus,32.25688886642456,0.9,1,1,5
nfcorpus,35.4704806804657,0.9,1,2,5
nfcorpus,33.11781716346741,0.9,1,3,5
nfcorpus,29.748664379119873,0.9,1,4,5
nfcorpus,33.541425466537476,0.9,1,5,5
nfcorpus,37.13793444633484,0.9,1,6,5
nfcorpus,34.5985746383667,0.9,1,7,5
nfcorpus,31.828558921813965,0.9,1,8,5
nfcorpus,33.028932332992554,0.9,1,9,5
nfcorpus,34.722576379776,0.9,1,10,5
nfcorpus,35.66895389556885,0.9,1,11,5
nfcorpus,36.562445640563965,0.9,1,12,5
nfcorpus,34.9959032535553,0.9,1,13,5
nfcorpus,37.1818163394928,0.9,1,14,5
nfcorpus,39.020676612854004,0.9,1,15,5
