ds_name,elapsed,threshold,uniqie_pairs_sim_docs,workers,slice_factor
nfcorpus,11.873540878295898,0.5,9,12,5
nfcorpus,12.232481956481934,0.5,9,13,5
nfcorpus,12.476746797561646,0.5,9,14,5
nfcorpus,12.740302085876465,0.5,9,15,5
nfcorpus,29.837610721588135,0.5,9,1,7
nfcorpus,15.94493579864502,0.5,9,2,7
nfcorpus,12.277632474899292,0.5,9,3,7
nfcorpus,11.291216373443604,0.5,9,4,7
nfcorpus,11.29890751838684,0.5,9,5,7
nfcorpus,10.720306873321533,0.5,9,6,7
nfcorpus,11.427173852920532,0.5,9,7,7
nfcorpus,11.434882164001465,0.5,9,8,7
nfcorpus,12.013200044631958,0.5,9,9,7
nfcorpus,12.293950080871582,0.5,9,10,7
nfcorpus,12.82985544204712,0.5,9,11,7
nfcorpus,13.204893350601196,0.5,9,12,7
nfcorpus,13.787987232208252,0.5,9,13,7
nfcorpus,14.301418781280518,0.5,9,14,7
nfcorpus,15.254603147506714,0.5,9,15,7
nfcorpus,29.49048137664795,0.5,9,1,9
nfcorpus,16.417305946350098,0.5,9,2,9
nfcorpus,12.646562814712524,0.5,9,3,9
nfcorpus,12.110361337661743,0.5,9,4,9
nfcorpus,11.882397174835205,0.5,9,5,9
nfcorpus,11.776580572128296,0.5,9,6,9
nfcorpus,11.9905104637146,0.5,9,7,9
nfcorpus,12.641767024993896,0.5,9,8,9
nfcorpus,13.137877702713013,0.5,9,9,9
nfcorpus,14.000506401062012,0.5,9,10,9
nfcorpus,14.599929809570312,0.5,9,11,9
nfcorpus,15.207726240158081,0.5,9,12,9
nfcorpus,15.813509464263916,0.5,9,13,9
nfcorpus,16.545177459716797,0.5,9,14,9
nfcorpus,17.1399028301239,0.5,9,15,9
nfcorpus,21.668594121932983,0.7,0,1,1
nfcorpus,11.751487731933594,0.7,0,2,1
nfcorpus,5.944880723953247,0.7,0,3,1
nfcorpus,6.140751600265503,0.7,0,4,1
nfcorpus,5.467954874038696,0.7,0,5,1
nfcorpus,5.346370458602905,0.7,0,6,1
